"","asexual_iRBC_log","RBC_log","transmssion_investment"
"700",0.0135834694388778,6.39879759519038,0
"701",0.0135834694388778,6.40080160320641,0
"702",0.0135834694388778,6.40280561122244,0
"703",0.0135834694388778,6.40480961923848,0
"704",0.0135834694388778,6.40681362725451,0
"705",0.0135834694388778,6.40881763527054,0
"706",0.0135834694388778,6.41082164328657,0
"707",0.0135834694388778,6.4128256513026,0
"708",0.0135834694388778,6.41482965931864,0
"709",0.0135834694388778,6.41683366733467,0
"710",0.0135834694388778,6.4188376753507,0
"711",0.0135834694388778,6.42084168336673,0
"712",0.0135834694388778,6.42284569138277,0
"713",0.0135834694388778,6.4248496993988,0
"714",0.0135834694388778,6.42685370741483,0
"715",0.0135834694388778,6.42885771543086,0
"716",0.0135834694388778,6.43086172344689,0
"717",0.0135834694388778,6.43286573146293,0
"718",0.0135834694388778,6.43486973947896,0
"719",0.0135834694388778,6.43687374749499,0
"720",0.0135834694388778,6.43887775551102,0
"721",0.0135834694388778,6.44088176352705,0
"722",0.0135834694388778,6.44288577154309,0
"723",0.0135834694388778,6.44488977955912,0
"724",0.0135834694388778,6.44689378757515,0
"725",0.0135834694388778,6.44889779559118,0
"726",0.0135834694388778,6.45090180360721,0
"727",0.0135834694388778,6.45290581162325,0
"728",0.0135834694388778,6.45490981963928,0
"729",0.0135834694388778,6.45691382765531,0
"730",0.0135834694388778,6.45891783567134,0
"731",0.0135834694388778,6.46092184368737,0
"732",0.0135834694388778,6.46292585170341,0
"733",0.0135834694388778,6.46492985971944,0
"734",0.0135834694388778,6.46693386773547,0
"735",0.0135834694388778,6.4689378757515,0
"736",0.0135834694388778,6.47094188376754,0
"737",0.0135834694388778,6.47294589178357,0
"738",0.0135834694388778,6.4749498997996,0
"739",0.0135834694388778,6.47695390781563,0
"740",0.0135834694388778,6.47895791583166,0
"741",0.0135834694388778,6.4809619238477,0
"742",0.0135834694388778,6.48296593186373,0
"743",0.0135834694388778,6.48496993987976,0
"744",0.0135834694388778,6.48697394789579,0
"745",0.0135834694388778,6.48897795591182,0
"746",0.0135834694388778,6.49098196392786,0
"747",0.0135834694388778,6.49298597194389,0
"748",0.0135834694388778,6.49498997995992,0
"749",0.0135834694388778,6.49699398797595,0
"750",0.0135834694388778,6.49899799599198,0
"751",0.0135834694388778,6.50100200400802,0
"752",0.0135834694388778,6.50300601202405,0
"753",0.0135834694388778,6.50501002004008,0
"754",0.0135834694388778,6.50701402805611,0
"755",0.0135834694388778,6.50901803607214,0
"756",0.0135834694388778,6.51102204408818,0
"757",0.0135834694388778,6.51302605210421,0
"758",0.0135834694388778,6.51503006012024,0
"759",0.0135834694388778,6.51703406813627,0
"760",0.0135834694388778,6.5190380761523,0
