"label","fitness_optimized","fitness_randomized"
"Gametocyte log (G log)",9.561373,0.212173687337649
"Gametocyte log (G log)",9.561373,0.00533397033021777
"Gametocyte log (G log)",9.561373,3.85919473580139
"Gametocyte log (G log)",9.561373,0.00443351844378575
"Gametocyte log (G log)",9.561373,7.34582792426517e-94
"Gametocyte log (G log)",9.561373,0.00446251084075492
"Gametocyte log (G log)",9.561373,0.00441555592862186
"Gametocyte log (G log)",9.561373,2.71856666355823
"Gametocyte log (G log)",9.561373,5.3518440207197e-08
"Gametocyte log (G log)",9.561373,2.70974162541395
"Gametocyte log (G log)",9.561373,0.0044641046402258
"Gametocyte log (G log)",9.561373,5.19230004855213e-60
"Gametocyte log (G log)",9.561373,0.00440598047300369
"Gametocyte log (G log)",9.561373,0.00441621324246217
"Gametocyte log (G log)",9.561373,0.00444664003205491
"Gametocyte log (G log)",9.561373,0.0044046100630234
"Gametocyte log (G log)",9.561373,6.63386220556062e-28
"Gametocyte log (G log)",9.561373,0.489617131507
"Gametocyte log (G log)",9.561373,4.26970359568664
"Gametocyte log (G log)",9.561373,0.00765240518576174
"Gametocyte log (G log)",9.561373,4.49489630744259e-09
"Gametocyte log (G log)",9.561373,0.661148296508447
"Gametocyte log (G log)",9.561373,0.00439624870779139
"Gametocyte log (G log)",9.561373,9.83381601207655e-25
"Gametocyte log (G log)",9.561373,8.76835618039196e-73
"Gametocyte log (G log)",9.561373,0.00464217659463545
"Gametocyte log (G log)",9.561373,9.35741888493221e-15
"Gametocyte log (G log)",9.561373,9.83308889495603e-16
"Gametocyte log (G log)",9.561373,3.87717094395898
"Gametocyte log (G log)",9.561373,0.024283364066304
"Gametocyte log (G log)",9.561373,1.08151446645771
"Gametocyte log (G log)",9.561373,0.4397447434971
"Gametocyte log (G log)",9.561373,0.00462141136051052
"Gametocyte log (G log)",9.561373,1.13326185392922
"Gametocyte log (G log)",9.561373,0.257980311923768
"Gametocyte log (G log)",9.561373,0.00451842649703606
"Gametocyte log (G log)",9.561373,0.191606754544202
"Gametocyte log (G log)",9.561373,0.00446311334917982
"Gametocyte log (G log)",9.561373,0.0162906677381039
"Gametocyte log (G log)",9.561373,0.464449407411533
"Gametocyte log (G log)",9.561373,1.23168591610682e-71
"Gametocyte log (G log)",9.561373,9.54415330709408e-17
"Gametocyte log (G log)",9.561373,2.80935111991386
"Gametocyte log (G log)",9.561373,1.75358632680214e-17
"Gametocyte log (G log)",9.561373,6.79630603724257e-09
"Gametocyte log (G log)",9.561373,1.94361307902855
"Gametocyte log (G log)",9.561373,0.0044414062454386
"Gametocyte log (G log)",9.561373,1.67337556572825
"Gametocyte log (G log)",9.561373,3.51667679836051e-15
"Gametocyte log (G log)",9.561373,1.4727237748913
"Gametocyte log (G log)",9.561373,5.4888185074927e-12
"Gametocyte log (G log)",9.561373,0.00442600317047923
"Gametocyte log (G log)",9.561373,3.39689690799236e-95
"Gametocyte log (G log)",9.561373,0.00837190949600124
"Gametocyte log (G log)",9.561373,0.319151093079854
"Gametocyte log (G log)",9.561373,0.204662634221104
"Gametocyte log (G log)",9.561373,6.0203133528093e-58
"Gametocyte log (G log)",9.561373,5.85962111584155e-53
