"label","iter","parameter","value"
"Half-life indis (ϕn)",73,"phi_N1",0.08816371
"Half-life targeted (ϕw)",73,"phi_N2",41.8555037
"RBC replenishment (ρ)",74,"rho",0.21616248
"Burst size (β)",74,"burst",3.93054911
"Activation indis (ψn)",74,"iota_N1",52.2090516
"Activation targeted (ψw)",74,"iota_N2",0.99373561
"Half-life indis (ϕn)",74,"phi_N1",0.02025214
"Half-life targeted (ϕw)",74,"phi_N2",56.0063546
"RBC replenishment (ρ)",75,"rho",0.32827894
"Burst size (β)",75,"burst",3.90121441
"Activation indis (ψn)",75,"iota_N1",42.5090359
"Activation targeted (ψw)",75,"iota_N2",0.77050988
"Half-life indis (ϕn)",75,"phi_N1",0.01514351
"Half-life targeted (ϕw)",75,"phi_N2",30.8444678
"RBC replenishment (ρ)",76,"rho",0.29845568
"Burst size (β)",76,"burst",4.76604692
"Activation indis (ψn)",76,"iota_N1",41.6125477
"Activation targeted (ψw)",76,"iota_N2",0.62916638
"Half-life indis (ϕn)",76,"phi_N1",0.00537344
"Half-life targeted (ϕw)",76,"phi_N2",22.6141921
"RBC replenishment (ρ)",77,"rho",0.32670901
"Burst size (β)",77,"burst",4.4352183
"Activation indis (ψn)",77,"iota_N1",65.3223747
"Activation targeted (ψw)",77,"iota_N2",2.35508192
"Half-life indis (ϕn)",77,"phi_N1",0.06921245
"Half-life targeted (ϕw)",77,"phi_N2",821.899804
"RBC replenishment (ρ)",78,"rho",0.48894478
"Burst size (β)",78,"burst",6.27509074
"Activation indis (ψn)",78,"iota_N1",56.0910037
"Activation targeted (ψw)",78,"iota_N2",1.95281952
"Half-life indis (ϕn)",78,"phi_N1",0.03080074
"Half-life targeted (ϕw)",78,"phi_N2",246.774861
"RBC replenishment (ρ)",79,"rho",0.43916033
"Burst size (β)",79,"burst",5.49842479
"Activation indis (ψn)",79,"iota_N1",43.5148678
"Activation targeted (ψw)",79,"iota_N2",1.10922221
"Half-life indis (ϕn)",79,"phi_N1",0.01941255
"Half-life targeted (ϕw)",79,"phi_N2",90.6118558
"RBC replenishment (ρ)",80,"rho",0.3377515
"Burst size (β)",80,"burst",3.99807923
"Activation indis (ψn)",80,"iota_N1",9.68247597
"Activation targeted (ψw)",80,"iota_N2",0.69233754
"Half-life indis (ϕn)",80,"phi_N1",0.08173773
"Half-life targeted (ϕw)",80,"phi_N2",377.596861
"RBC replenishment (ρ)",81,"rho",0.46346928
"Burst size (β)",81,"burst",3.87699145
"Activation indis (ψn)",81,"iota_N1",10.166611
"Activation targeted (ψw)",81,"iota_N2",0.80320266
"Half-life indis (ϕn)",81,"phi_N1",0.08695385
"Half-life targeted (ϕw)",81,"phi_N2",71.973707
"RBC replenishment (ρ)",82,"rho",0.32477726
"Burst size (β)",82,"burst",4.7121712
"Activation indis (ψn)",82,"iota_N1",7.21535763
"Activation targeted (ψw)",82,"iota_N2",0.54701099
"Half-life indis (ϕn)",82,"phi_N1",0.03700929
"Half-life targeted (ϕw)",82,"phi_N2",537.015522
"RBC replenishment (ρ)",83,"rho",0.28397073
"Burst size (β)",83,"burst",4.5218917
"Activation indis (ψn)",83,"iota_N1",29.0838699
"Activation targeted (ψw)",83,"iota_N2",1.92255003
"Half-life indis (ϕn)",83,"phi_N1",0.08698688
"Half-life targeted (ϕw)",83,"phi_N2",793.169794
"RBC replenishment (ρ)",84,"rho",0.51243488
"Burst size (β)",84,"burst",5.93726258
"Activation indis (ψn)",84,"iota_N1",14.570671
"Activation targeted (ψw)",84,"iota_N2",1.86502479
"Half-life indis (ϕn)",84,"phi_N1",0.08195391
"Half-life targeted (ϕw)",84,"phi_N2",319.245539
"RBC replenishment (ρ)",85,"rho",0.32525815
"Burst size (β)",85,"burst",5.5838158
"Activation indis (ψn)",85,"iota_N1",9.30694033
"Activation targeted (ψw)",85,"iota_N2",0.96547643
"Half-life indis (ϕn)",85,"phi_N1",0.04629372
"Half-life targeted (ϕw)",85,"phi_N2",457.34592
"RBC replenishment (ρ)",86,"rho",0.35536866
"Burst size (β)",86,"burst",3.99096517
"Activation indis (ψn)",86,"iota_N1",13.6525112
"Activation targeted (ψw)",86,"iota_N2",0.78957226
"Half-life indis (ϕn)",86,"phi_N1",0.06857833
"Half-life targeted (ϕw)",86,"phi_N2",983.676228
"RBC replenishment (ρ)",87,"rho",0.38479576
"Burst size (β)",87,"burst",4.01312012
"Activation indis (ψn)",87,"iota_N1",10.7164015
"Activation targeted (ψw)",87,"iota_N2",0.76257775
"Half-life indis (ϕn)",87,"phi_N1",0.04134249
"Half-life targeted (ϕw)",87,"phi_N2",862.47192
