"","long_label","cue_value","transmission_investment"
"279","Asexual iRBC log",1.77063873909488,1.01552109602042e-122
"280","Asexual iRBC log",1.77617545061992,8.8470648224063e-123
"281","Asexual iRBC log",1.78172947520484,7.71738806441386e-123
"282","Asexual iRBC log",1.78730086698683,6.74066592774995e-123
"283","Asexual iRBC log",1.79288968027238,5.89517986103852e-123
"284","Asexual iRBC log",1.79849596953778,5.16242262645013e-123
"285","Asexual iRBC log",1.80411978942968,4.52660637108781e-123
"286","Asexual iRBC log",1.80976119476558,3.97424846614199e-123
"287","Asexual iRBC log",1.81542024053443,3.49382246536484e-123
"288","Asexual iRBC log",1.8210969818971,3.07546364564239e-123
"289","Asexual iRBC log",1.82679147418695,2.71072034268283e-123
"290","Asexual iRBC log",1.83250377291037,2.39234374733612e-123
"291","Asexual iRBC log",1.83823393374733,2.11411003456062e-123
"292","Asexual iRBC log",1.84398201255187,1.87066970013404e-123
"293","Asexual iRBC log",1.84974806535273,1.65741981501162e-123
"294","Asexual iRBC log",1.85553214835382,1.47039560258571e-123
"295","Asexual iRBC log",1.86133431793479,1.30617832389095e-123
"296","Asexual iRBC log",1.86715463065162,1.16181693963869e-123
"297","Asexual iRBC log",1.87299314323711,1.03476142215118e-123
"298","Asexual iRBC log",1.87884991260147,9.2280592819683e-124
"299","Asexual iRBC log",1.88472499583287,8.24040326545649e-124
"300","Asexual iRBC log",1.89061845019799,7.36808810969348e-124
"301","Asexual iRBC log",1.89653033314257,6.59674528041573e-124
"302","Asexual iRBC log",1.90246070229199,5.91389315788318e-124
"303","Asexual iRBC log",1.90840961545183,5.30867789268268e-124
"304","Asexual iRBC log",1.9143771306084,4.77165126880745e-124
"305","Asexual iRBC log",1.92036330592937,4.29458010281578e-124
"306","Asexual iRBC log",1.92636819976426,3.87028254232391e-124
"307","Asexual iRBC log",1.93239187064506,3.49248733065094e-124
"308","Asexual iRBC log",1.9384343772868,3.15571269815832e-124
"309","Asexual iRBC log",1.94449577858809,2.85516204226201e-124
"310","Asexual iRBC log",1.95057613363172,2.5866339820314e-124
"311","Asexual iRBC log",1.95667550168523,2.34644473199646e-124
"312","Asexual iRBC log",1.96279394220149,2.13136104358299e-124
"313","Asexual iRBC log",1.96893151481928,1.93854222011348e-124
"314","Asexual iRBC log",1.97508827936386,1.76548992982872e-124
"315","Asexual iRBC log",1.98126429584756,1.61000472690944e-124
"316","Asexual iRBC log",1.98745962447037,1.47014834820727e-124
"317","Asexual iRBC log",1.99367432562053,1.34421098755918e-124
"318","Asexual iRBC log",1.99990845987509,1.23068286379706e-124
"319","Asexual iRBC log",2.00616208800054,1.12822949593669e-124
"320","Asexual iRBC log",2.01243527095338,1.03567018206504e-124
"321","Asexual iRBC log",2.01872806988072,9.51959249366192e-125
"322","Asexual iRBC log",2.02504054612088,8.76169703291626e-125
"323","Asexual iRBC log",2.03137276120396,8.07478955715121e-125
"324","Asexual iRBC log",2.03772477685248,7.45156356250536e-125
"325","Asexual iRBC log",2.04409665498197,6.88552288920155e-125
"326","Asexual iRBC log",2.05048845770155,6.37088628940626e-125
"327","Asexual iRBC log",2.05690024731456,5.90250382355918e-125
"328","Asexual iRBC log",2.06333208631916,5.47578355270366e-125
"329","Asexual iRBC log",2.06978403740894,5.08662720080595e-125
"330","Asexual iRBC log",2.07625616347353,4.73137363873749e-125
"331","Asexual iRBC log",2.08274852759921,4.40674919462622e-125
"332","Asexual iRBC log",2.08926119306953,4.10982392712474e-125
"333","Asexual iRBC log",2.09579422336593,3.83797311191569e-125
"334","Asexual iRBC log",2.10234768216835,3.58884329001054e-125
"335","Asexual iRBC log",2.10892163335585,3.36032231124163e-125
"336","Asexual iRBC log",2.11551614100724,3.15051287974085e-125
"337","Asexual iRBC log",2.12213126940171,2.95770917174384e-125
"338","Asexual iRBC log",2.12876708301943,2.78037615105915e-125
"339","Asexual iRBC log",2.13542364654221,2.61713125527052e-125
"340","Asexual iRBC log",2.14210102485411,2.46672816712261e-125
"341","Asexual iRBC log",2.1487992830421,2.32804242149106e-125
"342","Asexual iRBC log",2.15551848639665,2.20005862957838e-125
"343","Asexual iRBC log",2.1622587004124,2.08185912915447e-125
"344","Asexual iRBC log",2.16901999078878,1.97261389331158e-125
"345","Asexual iRBC log",2.17580242343068,1.87157155082331e-125
"346","Asexual iRBC log",2.18260606444905,1.77805138915103e-125
"347","Asexual iRBC log",2.18943098016158,1.69143622684135e-125
"348","Asexual iRBC log",2.19627723709332,1.61116605574294e-125
"349","Asexual iRBC log",2.20314490197736,1.5367323654408e-125
"350","Asexual iRBC log",2.21003404175544,1.4676730727845e-125
"351","Asexual iRBC log",2.21694472357865,1.40356798854812e-125
"352","Asexual iRBC log",2.22387701480802,1.34403476129053e-125
"353","Asexual iRBC log",2.23083098301525,1.28872524552993e-125
"354","Asexual iRBC log",2.23780669598333,1.23732224752414e-125
"355","Asexual iRBC log",2.24480422170718,1.18953660737576e-125
"356","Asexual iRBC log",2.25182362839436,1.14510458095424e-125
"357","Asexual iRBC log",2.25886498446571,1.10378548931485e-125
"358","Asexual iRBC log",2.26592835855601,1.06535960700239e-125
"359","Asexual iRBC log",2.27301381951466,1.02962626386643e-125
"360","Asexual iRBC log",2.28012143640636,9.96402137899464e-126
"361","Asexual iRBC log",2.28725127851176,9.65519719130986e-126
"362","Asexual iRBC log",2.29440341532814,9.36825926858225e-126
"363","Asexual iRBC log",2.30157791657013,9.10180864462385e-126
"364","Asexual iRBC log",2.30877485217031,8.8545669782019e-126
