"X","mut_id","res_id","fitness","mut_var1","mut_var2","mut_var3","mut_var4","res_var1","res_var2","res_var3","res_var4","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt"
1,"I-i_none","G-i_log",-0.270709395960169,1.958208,-69.747557,1519.003656,-253.527388,1.76218,-4.329083,2.546559,-6.721427,1.97113987533288,-62.1443082364775,1209.17664939008,-12.5440212934837
1,"I-i_none","G-i_none",0.414021213946494,1.958208,-69.747557,1519.003656,-253.527388,1.353023,-165.8444,60.96032,-7.602019,1.7246947309113,-76.7679172421221,2049.17802927032,-279.032143674024
1,"I-i_none","G1+G2_none",0.436039344890128,1.958208,-69.747557,1519.003656,-253.527388,1,-20.67279,324.78499,-4999.96816,1.9482621572964,-70.7320446080907,1518.97697769265,-253.540851544403
1,"I-i_none","I-i_log",-0.100726785693735,1.958208,-69.747557,1519.003656,-253.527388,296.297,-407.8744,-253.256,-312.6993,1.93824471519241,-59.7198947718985,1143.02271823605,4.80581092895186
1,"I-i_none","I-i+Ig-i_log",-0.169708585691176,1.958208,-69.747557,1519.003656,-253.527388,303.4573,-419.5405,-257.9821,-320.6268,1.94088668410117,-64.2283755127845,1306.65402974382,98.4653607428647
1,"I-i_none","I-i+Ig-i_none",0.030234775758281,1.958208,-69.747557,1519.003656,-253.527388,1.738925,-32.23447,294.1821,16.1966,1.94411265523518,-69.468182066676,1519.0071930131,-253.504985422884
1,"I-i_none","I1+I2_log",-0.100268512279655,1.958208,-69.747557,1519.003656,-253.527388,356.4903,-465.0749,-322.0964,-367.33,1.95495663680046,-64.7142661291873,1314.81858807686,34.597198315023
1,"I-i_none","I1+I2_none",0.613474499852101,1.958208,-69.747557,1519.003656,-253.527388,0.9999997,-9.1495804,-71.9937848,4998.243879,1.8797539933134,-62.7393124255098,1250.47992471804,38.0568341703718
1,"I-i_none","Ig-i_log",-0.255738820026551,1.958208,-69.747557,1519.003656,-253.527388,2.188023,-5.185792,3.701277,-8.106463,1.93930192227954,-61.1693890813414,1191.39996487552,54.0564979335988
1,"I-i_none","Ig-i_none",0.489664338964729,1.958208,-69.747557,1519.003656,-253.527388,1.178482,-108.3889,2.022846,0.4681743,1.7510507054554,-80.4240984095668,2177.63679214848,48.00100818507
1,"I-i_none","Ig1+Ig2_none",0.625763384219404,1.958208,-69.747557,1519.003656,-253.527388,1,-31.28019,341.47294,-4999.99774,1.75643984818671,-66.8646677350638,1519.11685497621,-253.53582415098
1,"I-i_none","R_log",-0.109742278230379,1.958208,-69.747557,1519.003656,-253.527388,-1708.033,2029.536,1652.683,1716.579,1.93619932823633,-69.2784640331702,1519.01773408903,-253.528580289049
1,"I-i_none","R_none",-0.179624867617208,1.958208,-69.747557,1519.003656,-253.527388,-85.83515,132.203,63.44411,95.46252,1.95875816261376,-64.5685479638788,1306.19925755871,20.7819365252441
1,"I-i_none","sum_log",-0.160887982941632,1.958208,-69.747557,1519.003656,-253.527388,366.9224,-475.8806,-333.6755,-376.6502,1.95593100116774,-69.7476902376436,1519.00365194277,-253.527388337208
1,"I-i_none","sum_none",0.0349494796000385,1.958208,-69.747557,1519.003656,-253.527388,1.832057,-16.921,61.96135,1.122217,1.91594623565583,-75.3816784740247,1791.84403504438,-88.6958559843295
1,"I-i+Ig-i_log","G-i_log",-0.0971933838510939,303.4573,-419.5405,-257.9821,-320.6268,1.76218,-4.329083,2.546559,-6.721427,303.101183500596,-420.653354112281,-256.383790065929,-320.984804460626
1,"I-i+Ig-i_log","G-i_none",0.560062519804727,303.4573,-419.5405,-257.9821,-320.6268,1.353023,-165.8444,60.96032,-7.602019,4.86790124814514,9.22225929058901,-14.8852847747302,0.0685229314054636
1,"I-i+Ig-i_log","G1+G2_none",0.71090173778085,303.4573,-419.5405,-257.9821,-320.6268,1,-20.67279,324.78499,-4999.96816,303.797301212152,-418.625246973629,-259.778571605559,-320.077217756353
1,"I-i+Ig-i_log","I-i_log",0.0696081690361443,303.4573,-419.5405,-257.9821,-320.6268,296.297,-407.8744,-253.256,-312.6993,377.693250864934,-522.286320741414,-321.941006011089,-398.296391359022
