"","cue_range","cr","label","min","max"
"206",1.06441895550522,0,"Asexual iRBC log10",0,251912.347863507
"207",1.06774668067204,0,"Asexual iRBC log10",0,251912.347863507
"208",1.07108480940666,0,"Asexual iRBC log10",0,251912.347863507
"209",1.07443337423409,0,"Asexual iRBC log10",0,251912.347863507
"210",1.07779240778099,0,"Asexual iRBC log10",0,251912.347863507
"211",1.08116194277604,0,"Asexual iRBC log10",0,251912.347863507
"212",1.08454201205024,0,"Asexual iRBC log10",0,251912.347863507
"213",1.08793264853721,0,"Asexual iRBC log10",0,251912.347863507
"214",1.09133388527356,0,"Asexual iRBC log10",0,251912.347863507
"215",1.09474575539917,0,"Asexual iRBC log10",0,251912.347863507
"216",1.09816829215752,0,"Asexual iRBC log10",0,251912.347863507
"217",1.10160152889603,0,"Asexual iRBC log10",0,251912.347863507
"218",1.10504549906637,0,"Asexual iRBC log10",0,251912.347863507
"219",1.10850023622479,0,"Asexual iRBC log10",0,251912.347863507
"220",1.11196577403246,0,"Asexual iRBC log10",0,251912.347863507
"221",1.11544214625577,0,"Asexual iRBC log10",0,251912.347863507
"222",1.11892938676668,0,"Asexual iRBC log10",0,251912.347863507
"223",1.12242752954304,0,"Asexual iRBC log10",0,251912.347863507
"224",1.12593660866895,0,"Asexual iRBC log10",0,251912.347863507
"225",1.12945665833503,0,"Asexual iRBC log10",0,251912.347863507
"226",1.13298771283883,0,"Asexual iRBC log10",0,251912.347863507
"227",1.1365298065851,0,"Asexual iRBC log10",0,251912.347863507
"228",1.14008297408615,0,"Asexual iRBC log10",0,251912.347863507
"229",1.1436472499622,0,"Asexual iRBC log10",0,251912.347863507
"230",1.1472226689417,0,"Asexual iRBC log10",0,251912.347863507
"231",1.15080926586167,0,"Asexual iRBC log10",0,251912.347863507
"232",1.15440707566805,0,"Asexual iRBC log10",0,251912.347863507
"233",1.15801613341601,0,"Asexual iRBC log10",0,251912.347863507
"234",1.16163647427034,0,"Asexual iRBC log10",0,251912.347863507
"235",1.16526813350576,0,"Asexual iRBC log10",0,251912.347863507
"236",1.16891114650726,0,"Asexual iRBC log10",0,251912.347863507
"237",1.17256554877047,0,"Asexual iRBC log10",0,251912.347863507
"238",1.17623137590197,0,"Asexual iRBC log10",0,251912.347863507
"239",1.17990866361969,0,"Asexual iRBC log10",0,251912.347863507
"240",1.18359744775319,0,"Asexual iRBC log10",0,251912.347863507
"241",1.18729776424407,0,"Asexual iRBC log10",0,251912.347863507
"242",1.19100964914629,0,"Asexual iRBC log10",0,251912.347863507
"243",1.19473313862651,0,"Asexual iRBC log10",0,251912.347863507
"244",1.1984682689645,0,"Asexual iRBC log10",0,251912.347863507
"245",1.2022150765534,0,"Asexual iRBC log10",0,251912.347863507
"246",1.20597359790016,0,"Asexual iRBC log10",0,251912.347863507
"247",1.20974386962586,0,"Asexual iRBC log10",0,251912.347863507
"248",1.21352592846607,0,"Asexual iRBC log10",0,251912.347863507
"249",1.21731981127119,0,"Asexual iRBC log10",0,251912.347863507
"250",1.22112555500684,0,"Asexual iRBC log10",0,251912.347863507
"251",1.22494319675421,0,"Asexual iRBC log10",0,251912.347863507
"252",1.22877277371042,0,"Asexual iRBC log10",0,251912.347863507
"253",1.23261432318887,0,"Asexual iRBC log10",0,251912.347863507
"254",1.23646788261961,0,"Asexual iRBC log10",0,251912.347863507
"255",1.24033348954972,0,"Asexual iRBC log10",0,251912.347863507
"256",1.24421118164367,0,"Asexual iRBC log10",0,251912.347863507
"257",1.24810099668367,0,"Asexual iRBC log10",0,251912.347863507
"258",1.25200297257005,0,"Asexual iRBC log10",0,251912.347863507
