"","mut_id","res_id","fitness_final","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt","res_var1","res_var2","res_var3","res_var4","mut_cue","mut_log","res_cue","res_log","mut_label","res_label"
"101","I1+I2_none","G1+G2_log",2.4053889642536e-106,6.06311884817308,-8.33195475364019,-71.6822415149872,4998.7949911569,12.106219,-21.043524,-5.010265,-16.928459,"I1+I2","none","G1+G2","log","I1+I2","G1+G2 log"
"102","I1+I2_none","G1+G2_none",0.381792874651156,1.93736009127645,-25.6565738972115,174.322185620138,8.12618068866801,1,-21.911779,338.36246,-4999.99966,"I1+I2","none","G1+G2","none","I1+I2","G1+G2"
"103","I1+I2_none","I-i_log",-0.103066984368971,1.94782708531449,-30.3789907275356,268.644222008589,10.083860249184,381.7701,-528.2317,-324.5508,-403.8235,"I1+I2","none","I","log","I1+I2","I log"
"104","I1+I2_none","I-i_none",-0.0100632233044617,1.98212805702295,-29.6500811903271,149.771133237286,5008.30028183824,1.931059,-63.78682,1295.819775,-31.58044,"I1+I2","none","I","none","I1+I2","I"
"105","I1+I2_none","I1+I2_log",-0.101058333843179,1.9618619546455,-33.4879854660772,323.027638478437,11.7149487055548,404.617,-529.2684,-365.0516,-417.0552,"I1+I2","none","I1+I2","log","I1+I2","I1+I2 log"
"106","I1+I2_none","Ig-i_log",-0.304749994680568,1.89461111649601,-28.7646380854633,236.469367413115,12.494954208872,2.189146,-5.450051,4.543525,-9.356682,"I1+I2","none","Ig","log","I1+I2","Ig log"
"107","I1+I2_none","Ig-i_none",0.294138660121693,1.72166514381611,-25.4945099283443,190.557169604744,7.52377872034238,1.096857,-80.496897,1412.461014,3.463079,"I1+I2","none","Ig","none","I1+I2","Ig"
"108","I1+I2_none","Ig1+Ig2_none",0.505571745074843,1.73962632156276,-47.1470913492617,573.081249169527,5015.23968612971,1,-32.831645,378.108931,-4999.999969,"I1+I2","none","Ig1+Ig2","none","I1+I2","Ig1+Ig2"
"109","I1+I2_none","R_log",-0.178200397645554,1.95523860716026,-29.5328792950617,235.702941192434,12.4869952466304,-971.1975,1175.9801,931.5406,978.087,"I1+I2","none","R","log","I1+I2","R log"
"110","I1+I2_none","R_none",-0.201180298494056,1.97084018890828,-30.8403314250883,260.519091335786,10.5215214052649,-88.36793,136.04925,65.44548,98.14261,"I1+I2","none","R","none","I1+I2","R"
"111","I1+I2_none","sum_log",-0.196061835057858,1.91518647135024,-33.3368918615736,321.918841783557,12.104531011052,435.1835,-565.3985,-395.7242,-446.595,"I1+I2","none","sum","log","I1+I2","sum log"
"112","I1+I2_none","sum_none",-0.0732218943818606,1.93549451036179,-34.191046377538,330.488520295309,16.7290476733923,1.86014,-25.61573,257.60126,-2823.09564,"I1+I2","none","sum","none","I1+I2","sum"
"113","Ig-i_log","G-i_log",-0.00803725544093847,5.19022152603829,-12.0484173004381,4.68186310839967,-14.3460901009355,1.762225,-4.329505,2.548675,-6.726894,"Ig","log","G","log","Ig log","G log"
"114","Ig-i_log","G-i_none",0.596255638147331,12.3582590614392,-24.8503294739975,0.259750095933548,-22.3766081655754,1.352967,-165.891572,61.230266,-7.374788,"Ig","log","G","none","Ig log","G"
"115","Ig-i_log","G1+G2_log",1.26261425478718,2.34180994717849,-6.64983260740289,5.62797608723266,-10.8853579190019,12.106219,-21.043524,-5.010265,-16.928459,"Ig","log","G1+G2","log","Ig log","G1+G2 log"
"116","Ig-i_log","G1+G2_none",0.7565805886164,28.5554232933093,-55.1163104571405,-5.19565617636503,-45.2643138541481,1,-21.911779,338.36246,-4999.99966,"Ig","log","G1+G2","none","Ig log","G1+G2"
"117","Ig-i_log","I-i_log",0.144390015685198,2.18198590903842,-5.52095763855707,4.39834699786099,-8.85552865042764,381.7701,-528.2317,-324.5508,-403.8235,"Ig","log","I","log","Ig log","I log"
"118","Ig-i_log","I-i_none",0.266644758208953,3.25452614753845,-8.2749164446781,5.37142865699371,-11.6267137551527,1.931059,-63.78682,1295.819775,-31.58044,"Ig","log","I","none","Ig log","I"
"119","Ig-i_log","I1+I2_log",0.171624773092654,2.17878077619644,-5.58919166706216,4.52115001687585,-9.1112816503872,404.617,-529.2684,-365.0516,-417.0552,"Ig","log","I1+I2","log","Ig log","I1+I2 log"
"120","Ig-i_log","I1+I2_none",0.909447282066484,27.1753191205955,-52.7143770078189,-3.86859683870893,-44.1001826803865,0.9999999,-9.1650326,-71.7214007,4998.79439,"Ig","log","I1+I2","none","Ig log","I1+I2"
"121","Ig-i_log","Ig-i_none",0.662256861001894,20.896527744666,-40.5872589925676,-2.58079591654305,-34.7833352541068,1.096857,-80.496897,1412.461014,3.463079,"Ig","log","Ig","none","Ig log","Ig"
"122","Ig-i_log","Ig1+Ig2_none",0.819402425171742,12.6369798450974,-19.4060742907483,-10.2719586360019,-13.0770837842029,1,-32.831645,378.108931,-4999.999969,"Ig","log","Ig1+Ig2","none","Ig log","Ig1+Ig2"
"123","Ig-i_log","R_log",0.113777515810642,4.52729448506927,-10.5505299635134,4.51774284637505,-13.184403655172,-971.1975,1175.9801,931.5406,978.087,"Ig","log","R","log","Ig log","R log"
"124","Ig-i_log","R_none",0.0826935675497231,4.54110228406098,-10.6548340986323,4.59461521197802,-13.1725258979647,-88.36793,136.04925,65.44548,98.14261,"Ig","log","R","none","Ig log","R"
"125","Ig-i_log","sum_log",0.0764466483101383,2.17724624872974,-5.41581515578586,4.01047273751209,-8.53316592219578,435.1835,-565.3985,-395.7242,-446.595,"Ig","log","sum","log","Ig log","sum log"
"126","Ig-i_log","sum_none",0.206263410389738,3.93489180036606,-9.39750732740584,4.53352887845886,-12.0587770821423,1.86014,-25.61573,257.60126,-2823.09564,"Ig","log","sum","none","Ig log","sum"
"127","Ig-i_none","G-i_log",-0.62203627977293,1.20419539510012,-89.4640048008481,1412.38291856456,3.44157196671232,1.762225,-4.329505,2.548675,-6.726894,"Ig","none","G","log","Ig","G log"
"128","Ig-i_none","G-i_none",-0.0779082834832578,1.06227003793133,-65.5704792040128,1123.41064306338,-37.9299589148419,1.352967,-165.891572,61.230266,-7.374788,"Ig","none","G","none","Ig","G"
"129","Ig-i_none","G1+G2_log",0.000892440320196803,1.98201514417814,-80.4952438387322,1412.46102518059,3.46307907407083,12.106219,-21.043524,-5.010265,-16.928459,"Ig","none","G1+G2","log","Ig","G1+G2 log"
"130","Ig-i_none","G1+G2_none",0.0236504996807383,1.26804804311341,-89.5615064650532,1412.12326490104,3.45747107961894,1,-21.911779,338.36246,-4999.99966,"Ig","none","G1+G2","none","Ig","G1+G2"
